Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000reMsp;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21029;Eventual;TRUE;70161000001VaY9
0036100000rfq9L;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;35;;21030;Eventual;TRUE;70161000001VaY9
0036100000rfsqP;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21031;Eventual;TRUE;70161000001VaY9
0036100000rft72;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;21032;Eventual;TRUE;70161000001VaY9
0036100000rft84;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21033;Eventual;TRUE;70161000001VaY9
0036100000rftBp;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21034;Eventual;TRUE;70161000001VaY9
0036100000rftDb;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21035;Eventual;TRUE;70161000001VaY9
0036100000rftuO;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21036;Eventual;TRUE;70161000001VaY9
0036100000rfu6r;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21037;Eventual;TRUE;70161000001VaY9
0036100000rgl2P;;Otro;;;;Completo;25/07/2018;25/07/2018;25/07/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21038;Eventual;TRUE;70161000001VaY9
