Donante;Banco;Canal de Ingreso;Tratamiento;CBU;Descripción;Estado;Fecha de compromiso;Fecha de fin de compromiso;Fecha para realizar primer cobranza;Forma de Pago;Frecuencia;Moneda;Monto en pesos;Monto en otra moneda;Número de Sobre;Tipo de compromiso;Donó tarjeta donante;Campaña
0036100000reNdL;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;50;;21916;Eventual;TRUE;70161000001VaYA
0036100000rfq9L;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;35;;21917;Eventual;TRUE;70161000001VaYA
0036100000rfqsv;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;21918;Eventual;TRUE;70161000001VaYA
0036100000rfr2g;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;1000;;21919;Eventual;TRUE;70161000001VaYA
0036100000rfrkQ;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;500;;21920;Eventual;TRUE;70161000001VaYA
0036100000rfrq6;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;100;;21921;Eventual;TRUE;70161000001VaYA
0036100000rfrvE;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21922;Eventual;TRUE;70161000001VaYA
0036100000rfsEk;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;70;;21923;Eventual;TRUE;70161000001VaYA
0036100000rfsPS;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21924;Eventual;TRUE;70161000001VaYA
0036100000rfskY;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;21925;Eventual;TRUE;70161000001VaYA
0036100000rfss5;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21926;Eventual;TRUE;70161000001VaYA
0036100000rfsti;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21927;Eventual;TRUE;70161000001VaYA
0036100000rfsvD;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;150;;21928;Eventual;TRUE;70161000001VaYA
0036100000rfszm;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;300;;21929;Eventual;TRUE;70161000001VaYA
0036100000rfszr;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;120;;21930;Eventual;TRUE;70161000001VaYA
0036100000rftEL;;Otro;;;;Completo;02/08/2018;02/08/2018;02/08/2018;Pago Fácil;Esporádica;Pesos Argentinos;200;;21931;Eventual;TRUE;70161000001VaYA
